subject,task,sequence_length,label,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_p95,movement_p99,movement_iqr,movement_cv,movement_skew,movement_kurtosis,scanpath_length,num_samples,dispersion,dispersion_x,dispersion_y,center_distance_mean,center_distance_std,center_distance_max,velocity_mean,velocity_std,velocity_max,acceleration_mean,acceleration_std,acceleration_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area,cluster
sub-013,listening,9,500109,0.0009280947674512,0.0053692401876369,0.1332676308784905,5.041203773419647e-06,0.000464494269568,0.0015632672441642,0.0056603586622543,0.0004694877469599,5.785228379621034,21.069981092441623,472.4215676791222,4.061342702366822,4377,0.0330039943623067,0.0053345184904547,0.0325700254274105,0.0784955896563618,0.0304076814231044,0.2874275110125263,1.6658698442419635,96.58817775435014,6388.336438762487,72905.08009208893,4821581.036588629,318881154.76011086,1.1465968586387434,4.0,382,0.0118706608043514,0
sub-013,listening,5,500105,0.0005559286419387,0.0004185893884164,0.0062531024191386,0.0,0.0004617646937882,0.0013103061514675,0.0018360569950152,0.000446005359775,0.7529552479194215,2.980233465780453,22.46895809935328,1.3964927485500158,2513,0.0119332000802034,0.0023989158637748,0.0116895879667632,0.0679392104085732,0.0098170704621301,0.0825997001058345,0.1385521940582161,0.1045619131794258,1.7917346966117456,0.1359019097295503,34.73274715844179,339.20672163226027,1.0909090909090908,3.0,231,0.0001813497791594,1
sub-013,listening,13,500113,0.0009325491920276,0.0050284758806472,0.1467686289750615,2.908079433789338e-06,0.0004538319421805,0.001558365111691,0.0098811845672136,0.0004537038215272,5.392182979338629,22.5753138874396,573.6336816403646,5.958056787864383,6390,0.0655186186817758,0.0281082905042837,0.0591828809614295,0.0832539272738339,0.0558127572805702,0.3647240107704111,0.2236780214152316,1.3994005334714883,66.49270530255536,10.288061206497613,619.9334809911345,32030.257080137053,1.14721723518851,4.0,557,0.037087066077582,0
sub-013,memory,9,6001091,0.0005354399775199,0.0004578747524683,0.0063718508765336,2.6675671330868397e-06,0.0004407467662934,0.0011753321919622,0.0021018522794319,0.0004317793439281,0.8551374041757773,4.4891468625228725,37.59868998659464,2.425543098165315,4531,0.0068749894789958,0.0049904867829856,0.004728691362856,0.0621647225524858,0.0045804857387449,0.0737659252473512,0.133635958361181,0.1147830300978948,1.6171777574033936,0.1985785498554056,32.50776190380386,256.1185051310848,1.113022113022113,3.0,407,0.0006076248655628,1
sub-013,memory,5,6001051,0.0005156609484178,0.0003763532856351,0.0038799738071082,0.0,0.0004321335615322,0.0011587954582631,0.0018086711088753,0.0003980220794481,0.7298463976957512,2.578954760371087,13.01451453654308,1.292761997683567,2508,0.0044590081867962,0.0034098079946814,0.0028733192390199,0.0545435497371593,0.0025239326477677,0.0602764763787029,0.1287908595332194,0.095226101906986,0.9748286605396668,0.2032345368653097,31.48701956390036,230.75116835110995,1.1155555555555556,3.0,225,0.0001789017653847,1
sub-013,memory,9,6001091,0.0006650830358731,0.0033715753693177,0.1366452252284251,3.705496239185072e-06,0.000457402894073,0.0013326780274979,0.0030256069803984,0.0004484188612656,5.069405153134912,37.11564012482343,1418.5429526052685,2.981567249819132,4484,0.0082339830769227,0.004903132402574,0.00661496560489,0.0749054048486779,0.0070917684916473,0.1717417917683422,0.1473508213750587,0.2263845905767349,8.938604882957996,-0.7284464481851617,61.96660854578664,594.7520496678767,1.1483375959079285,3.0,391,0.0032066140140186,0
sub-013,memory,5,6001051,0.0005606417708017,0.0004162850281692,0.0049285974693323,0.0,0.0004626033694711,0.001274480544106,0.0018912279565111,0.0004613019627171,0.7425151850066238,2.740189228925252,16.732243914777612,1.4100140535663654,2516,0.0034616359568163,0.0028110398932883,0.0020201431176689,0.0445528086985762,0.0027361991791829,0.0508824946719306,0.1401768678336778,0.1051509127725881,1.226026693553797,0.3529975902612317,32.05031649778754,209.8930276467941,1.1300448430493273,3.0,223,0.0001666371789745,1
sub-013,memory,9,6001091,0.0005350881942893,0.0004231060102375,0.0061541049884447,4.7439796427702844e-06,0.0004456099144078,0.0011934761983103,0.0019843239479979,0.0004229148098421,0.7907220057423248,3.656380224815119,28.89978836620587,2.4255547847135857,4534,0.0048469916326516,0.0033680126654871,0.0034856589867789,0.0443153319515297,0.0032732633104278,0.0539011693331435,0.1334815851133046,0.1054627924762917,1.480118875712091,0.2730633396948171,33.03113887886161,410.93725748647455,1.1154791154791155,3.0,407,0.0002801577589164,1
sub-013,memory,9,6001091,0.0005497364144945,0.0004590907423058,0.00599172903729,5.715986500371087e-06,0.0004491698901664,0.001284029905563,0.0021532962441052,0.0004490668577847,0.8351106643135036,3.643818499628908,25.373783700392877,2.4892064848313256,4529,0.0050132202316931,0.0037860850881677,0.0032860214236384,0.0422110629832952,0.0037819624654248,0.0521867220535796,0.1371587488851278,0.1152857437032254,1.4831002105648723,0.1904098064745735,33.933538182810985,257.65554027174454,1.102189781021898,5.0,411,0.0003589310575522,1
sub-013,memory,13,6001131,0.0006188410238607,0.0029457233796146,0.1656668832313982,0.0,0.0004503503284216,0.0012789985695356,0.0027526971580447,0.0004399670321371,4.760064808304348,53.86857846626329,3008.049508451776,4.021228973047216,6499,0.0082003765792452,0.0050894113195315,0.0064299353388707,0.0393090211094331,0.0047667715918773,0.1719092546348337,0.1490210435768253,0.543600509555898,41.34486276241189,1.2948096947559402,137.2354365982121,10232.034294519974,1.0887772194304857,5.0,597,0.0054151702564535,0
sub-013,memory,13,6001131,0.0006181593414272,0.0029257669568412,0.1706499107827685,0.0,0.0004612267844023,0.0013262637633761,0.0021725126122011,0.0004459482210992,4.73303040294766,55.08181872482289,3107.6900243799178,4.01494492257001,6496,0.0084657863829489,0.0032875534172169,0.0078013801093569,0.0318154559705812,0.0048444432411431,0.1613138170003094,0.1592179743952653,1.3482054505365413,108.00627786265416,8.643018176950656,859.1227779491101,68094.9702839355,1.1073253833049403,5.0,587,0.0041818675382811,0
sub-013,memory,13,6001131,0.0005487417185042,0.0004430497522909,0.0086695420810819,4.3030491574479056e-06,0.000450161024527,0.0012719422309352,0.0021195646464076,0.0004459074582673,0.8073921434270118,4.145678206338517,45.49711851538808,3.582185938395587,6529,0.0056858627445554,0.0033546912321838,0.0045907604910987,0.0435620145861381,0.0033533850842133,0.053993144232376,0.1371317197087631,0.1117558336493617,2.093698309581396,0.3125543566685328,34.92810541773925,484.1168395606664,1.1219931271477663,4.0,582,0.0005021558448582,1
sub-013,memory,5,6001051,0.0005283097664102,0.0003671357145136,0.0046850346705383,5.4334250330404806e-06,0.0004456180499015,0.0011900997672335,0.001752158051433,0.0004229197227995,0.6949250948137327,2.1416320075667152,11.017962835362026,1.3276424429890612,2514,0.0032671080501725,0.001781615906062,0.0027385835343784,0.0387184500424803,0.0019544531077377,0.0445099492112871,0.1317305560000905,0.0916278680893461,1.1683488708471117,0.1308549003374687,29.80758169411439,225.4290185038466,1.1101321585903083,3.0,227,9.544611270042268e-05,1
sub-013,memory,13,6001131,0.0005290907242048,0.0003642861016451,0.0041375374787321,0.0,0.000454194098608,0.0012086096337853,0.0017831387107744,0.0004183134539851,0.6885134911270152,1.8477889275372448,7.075543446958065,3.4602533362996954,6541,0.0040081660109045,0.0014022266579903,0.0037548841753897,0.0480819942736605,0.0014671976863258,0.0521224339996364,0.1319709803130765,0.0913787996187982,1.0396028273645237,0.1974525498615579,31.478293076711747,214.78706568648573,1.1141396933560477,3.0,587,0.0001269061606996,1
sub-013,memory,5,6001051,0.0005490398790304,0.0004182307476058,0.0054670132381451,4.005150425590487e-06,0.0004622003746679,0.001282499971704,0.0018701670679951,0.0004411371197467,0.7617493074353663,2.8659566479370846,18.14080785067147,1.3736977773341268,2503,0.0027913333872563,0.0022195768655491,0.0016926371781131,0.0499115097279029,0.002209690560166,0.0569784261136493,0.1376901584051988,0.10652286616685,1.36677090616947,0.4036006665295495,34.257241412038425,281.1663762000271,1.0913043478260869,2.0,230,9.882731781467206e-05,1
sub-013,listening,5,500105,0.0013968560617925,0.0093217069259729,0.1838621801109656,6.272554874459637e-06,0.0004688378040458,0.0016803984481699,0.0125106984494988,0.0004803155705372,6.673348228886766,15.207497454073716,250.68526222320784,3.3859790937851018,2425,0.0699262642956801,0.0153646111882964,0.0682173816661251,0.0724510000319375,0.0545768540389661,0.3599401195309309,0.2707496919418957,1.97295607495874,64.35115874606782,26.760297777196836,919.029821753507,31543.52667388389,1.0945945945945943,3.0,222,0.0682406654650027,1
sub-013,listening,13,500113,0.0006448983003762,0.0023840192530589,0.1114082348810336,0.0,0.0004582715458363,0.0012742284686517,0.0031016253081202,0.0004409954621554,3.696736759374655,35.25053318385447,1398.16847975871,4.2105410031562505,6530,0.016089765417953,0.0041510796139543,0.0155450663955922,0.0586645989730523,0.0066166171035838,0.1111592552634032,0.1618635501259576,0.7837542428135796,46.12286828759419,5.539235478630359,363.9534519477489,20860.09495960429,1.1105442176870748,4.0,588,0.0096205421567382,0
sub-013,listening,9,500109,0.00055769449997,0.0003855296589762,0.0043020327670596,1.8591855072403324e-06,0.0004753407940709,0.0013269204345314,0.0017591135048961,0.0004636125516093,0.69129184346796,1.5470147823524198,4.666447992470234,2.525798390364214,4530,0.0060805037051862,0.0018967991719048,0.0057770821536693,0.0650383903779996,0.0030961447249749,0.0761602415795291,0.1393203085054041,0.0974619017013565,1.08366063557801,0.2478502002920408,34.32597509069198,318.09815233802044,1.1240694789081886,4.0,403,0.0001982618484932,1
sub-013,listening,9,500109,0.0008842090505417,0.0049353997345099,0.1447041592204469,6.89374106475389e-06,0.0005295943676484,0.0015380199577035,0.0038891474037065,0.0005106166097602,5.581711396740288,23.670738537252465,586.527719955185,3.8940566585859577,4405,0.0171330322453499,0.0049411158666768,0.0164050653126488,0.0380639764801017,0.012296891093803,0.1460271064374294,0.2082724982634797,1.3162444361421592,65.56803795131125,10.420353170681937,622.1816755387354,33129.5694258238,1.0835380835380837,4.0,407,0.0080725130430558,0
sub-013,listening,5,500105,0.0005974425792372,0.00040583160652,0.0034959773066005,0.0,0.0005083696240452,0.0013585679169893,0.0019219568902261,0.0004802951864814,0.6792813579475959,1.62836511226624,4.866662179926934,1.5007757590440065,2513,0.006077305757361,0.0028238894955016,0.0053813839656401,0.0312600651256815,0.0027888703878774,0.0397748784462291,0.1489063075810732,0.101855159574035,0.8761990798317316,0.2140804886599321,33.75609712327397,215.4484298132712,1.12,4.0,225,0.0002823551759149,1
sub-013,listening,13,500113,0.0006341905476825,0.0004228985430117,0.0045893781766893,0.0,0.0005483769902638,0.0014070690689218,0.0020724602092008,0.0004908080097228,0.6668319869431707,1.8119104991367443,6.787954883095592,4.145069419653263,6537,0.0064665158345149,0.0037394170655825,0.0052756598684583,0.0350124273255372,0.0037997052896567,0.0489055777113707,0.1585190625293571,0.1070161408233548,1.1473593159683302,0.3306866746033925,36.702675501514,312.3123305904054,1.1413612565445026,3.0,573,0.0003793731407584,1
sub-013,memory,5,6001051,0.0006487214566401,0.0004730452672069,0.0044115515542788,0.0,0.0005380234856005,0.0014907499967078,0.002496319692904,0.0005072124228225,0.7291962711653258,2.1590931402661235,8.099512014220544,1.6231010845136098,2503,0.0055664437005548,0.003657453320403,0.0041962281492453,0.0471821350232489,0.0039105088489263,0.0562953027453172,0.1623687213338932,0.1219375838571353,1.1909541660477818,0.4186173745804002,40.00775272847471,338.7117230124445,1.1205357142857142,2.0,224,0.0002560981366786,1
sub-013,memory,9,6001091,0.0006729444297995,0.0021457197667572,0.1000171645502453,8.976134461841223e-07,0.0005156852517772,0.0014814469762867,0.0028289425087889,0.0004897738117463,3.1885541684274616,43.32121867945563,1992.968903951628,3.047765322561988,4530,0.0091099761465724,0.0050850117516111,0.0075587248181882,0.0454221457573654,0.005927983652166,0.1325704830916152,0.1697865225246687,0.7510560467975328,49.31403493174419,4.610528978166,368.349908595166,24366.212714546386,1.1157635467980296,4.0,406,0.0018149647156193,0
sub-013,memory,5,6001051,0.0006277066088108,0.0004535491099089,0.0044071343060153,9.337048868936643e-06,0.0005314251710206,0.0014136280716938,0.0022166204127157,0.0005075235818772,0.7225495216120342,2.306342138813316,10.498202580286412,1.575543588115217,2511,0.0061843305153847,0.0027251063932063,0.0055515528520608,0.0199790329668459,0.0029153497843919,0.0283391906277491,0.1568068475570634,0.1142116310867603,1.0955239478124092,0.3102235770121471,36.21630592445533,230.4432640152229,1.1357466063348416,4.0,221,0.0003303318427854,1
sub-013,memory,13,6001131,0.0006832920744051,0.002648973316424,0.1560978381415754,0.0,0.0005446186936111,0.0014343593039525,0.0022147740000081,0.0004829483948682,3.876780392528496,54.15357175992983,3045.349016675957,4.442765067782367,6503,0.006770970653547,0.002761248213566,0.0061823581176015,0.0257645403882985,0.0039835242294252,0.1481563631918508,0.1712610476062967,0.9708329856667685,77.65648047782736,4.764678381132782,480.394733234662,37259.01049771748,1.148148148148148,4.0,567,0.0041646102410408,0
sub-013,memory,9,6001091,0.000744256189937,0.0033981347952824,0.1619931562453892,0.0,0.0005678735961878,0.0015155624403593,0.0024211296437848,0.0005271556128857,4.565813279389598,45.50948522745452,2127.5582734892378,3.3595724413757786,4515,0.0118399358310927,0.004564996762861,0.0109245084575673,0.0184991219930068,0.0085063902412274,0.1348129259462487,0.1866300415714819,1.1914788740566404,79.15505989376786,6.441427630796564,611.0807023290605,39681.590907965794,1.1105651105651106,4.0,407,0.0041361954013743,0
sub-013,memory,5,6001051,0.0006605344695275,0.0004755406397984,0.0079172527529537,1.716819827119143e-05,0.0005562370439373,0.0014851901061358,0.0020716310686365,0.0005288470006895,0.7199331174019931,3.29102873627576,31.055927041454066,1.6632257942704929,2519,0.0061663833425765,0.0035047484546342,0.0050735610568262,0.0295043561707714,0.0047764470382625,0.0459069105043885,0.1648456683380854,0.1192069945959817,1.91242599002102,0.2234182861706048,38.85828126882685,346.08746872867863,1.125,4.0,224,0.0003975091530739,1
