subject,trial,condition,accuracy
13,4,9,0.6666666666666666
13,5,5,1.0
13,6,9,0.3333333333333333
13,7,5,1.0
13,8,9,0.3333333333333333
13,9,9,0.3333333333333333
13,10,13,0.3076923076923077
13,11,13,0.15384615384615385
13,12,13,0.23076923076923078
13,13,5,1.0
13,14,13,0.3076923076923077
13,15,5,1.0
13,22,5,1.0
13,23,9,0.6666666666666666
13,24,5,1.0
13,25,13,0.15384615384615385
13,26,9,0.1111111111111111
13,27,5,1.0
13,28,13,0.07692307692307693
13,29,9,0.0
13,30,13,0.3076923076923077
13,31,13,0.3076923076923077
13,32,9,0.3333333333333333
13,33,5,0.6666666666666666
13,40,13,0.23076923076923078
13,41,9,0.14285714285714285
13,42,13,0.23076923076923078
13,43,13,0.2
13,44,5,1.0
13,45,9,0.0
13,46,13,0.0
13,47,9,0.0
13,48,5,0.6
13,49,9,0.0
13,50,5,1.0
13,51,5,0.6
13,58,13,0.3076923076923077
13,59,9,0.3333333333333333
13,60,5,0.6
13,61,9,0.1111111111111111
13,62,13,0.15384615384615385
13,63,9,0.2222222222222222
13,64,5,0.6
13,65,5,1.0
13,66,5,0.6
13,67,13,0.3076923076923077
13,68,13,0.07692307692307693
13,69,9,0.4444444444444444
13,76,5,0.6
13,77,13,0.08333333333333333
13,78,5,0.4
13,79,5,0.0
13,80,9,0.0
13,81,9,0.4444444444444444
13,82,13,0.1
13,83,9,0.3333333333333333
13,84,13,0.3076923076923077
13,85,13,0.23076923076923078
13,86,5,1.0
13,87,9,0.1111111111111111
13,94,9,0.2222222222222222
13,95,13,0.07692307692307693
13,96,9,0.1111111111111111
13,97,5,1.0
13,98,9,0.2
13,99,5,0.6
13,100,13,0.07692307692307693
13,101,13,0.15384615384615385
13,102,9,0.3333333333333333
13,103,13,0.23076923076923078
13,104,5,1.0
13,105,5,1.0
13,112,13,0.15384615384615385
13,113,13,0.15384615384615385
13,114,9,0.2222222222222222
13,115,9,0.1111111111111111
13,116,5,0.3333333333333333
13,117,5,1.0
13,118,13,0.23076923076923078
13,119,9,0.5555555555555556
13,120,5,0.8
13,121,13,0.15384615384615385
13,122,9,0.4444444444444444
13,123,5,1.0
13,130,5,1.0
13,131,5,0.6
13,132,13,0.15384615384615385
13,133,9,0.3333333333333333
13,134,5,0.6
13,135,13,0.0
13,136,9,0.2222222222222222
13,137,5,1.0
13,138,13,0.23076923076923078
13,139,9,0.4444444444444444
13,140,9,0.2222222222222222
13,141,13,0.15384615384615385
13,148,13,0.38461538461538464
13,149,13,0.15384615384615385
13,150,9,0.2222222222222222
13,151,5,0.6
13,152,5,1.0
13,153,9,0.3333333333333333
13,154,9,0.4444444444444444
13,155,13,0.15384615384615385
13,156,13,0.46153846153846156
13,157,9,0.3333333333333333
13,158,5,0.8
13,159,5,0.8
14,4,5,1.0
14,5,13,0.15384615384615385
14,6,5,1.0
14,7,13,0.0
14,8,13,0.3076923076923077
14,9,13,0.0
14,10,9,0.1111111111111111
14,11,9,0.125
14,12,9,0.8888888888888888
14,13,9,0.3333333333333333
14,14,5,0.4
14,15,5,1.0
14,22,5,1.0
14,23,9,0.4444444444444444
14,24,9,0.6666666666666666
14,25,13,0.1
14,26,5,1.0
14,27,5,1.0
14,28,9,0.2222222222222222
14,29,5,1.0
14,30,13,0.15384615384615385
14,31,13,0.3076923076923077
14,32,13,0.23076923076923078
14,33,9,0.3333333333333333
14,40,9,0.5555555555555556
14,41,13,0.15384615384615385
14,42,13,0.07692307692307693
14,43,9,0.3333333333333333
14,44,5,1.0
14,45,13,0.07692307692307693
14,46,9,0.4444444444444444
14,47,5,1.0
14,48,5,1.0
14,49,9,0.5555555555555556
14,50,5,1.0
14,51,13,0.08333333333333333
14,58,13,0.23076923076923078
14,59,9,0.4444444444444444
14,60,5,0.6
14,61,9,0.5555555555555556
14,62,5,0.4
14,63,13,0.38461538461538464
14,64,5,1.0
14,65,13,0.23076923076923078
14,66,9,0.4444444444444444
14,67,5,1.0
14,68,13,0.08333333333333333
14,69,9,0.2222222222222222
14,76,9,0.2222222222222222
14,77,13,0.3076923076923077
14,78,13,0.23076923076923078
14,79,13,0.23076923076923078
14,80,5,0.4
14,81,5,0.6
14,82,5,1.0
14,83,9,0.4444444444444444
14,84,9,0.3333333333333333
14,85,13,0.15384615384615385
14,86,5,1.0
14,87,9,0.5555555555555556
14,94,13,0.3076923076923077
14,95,5,1.0
14,96,5,1.0
14,97,5,1.0
14,98,13,0.18181818181818182
14,99,9,0.5714285714285714
14,100,5,1.0
14,101,9,0.4444444444444444
14,102,9,0.2222222222222222
14,103,9,0.0
14,104,13,0.15384615384615385
14,105,13,0.0
14,112,9,0.1111111111111111
14,113,5,1.0
14,114,9,0.3333333333333333
14,115,5,1.0
14,116,9,0.0
14,117,9,0.6666666666666666
14,118,13,0.16666666666666666
14,119,13,0.23076923076923078
14,120,5,1.0
14,121,5,0.6
14,122,13,0.15384615384615385
14,123,13,0.16666666666666666
14,130,9,0.0
14,131,5,0.6
14,132,13,0.15384615384615385
14,133,5,1.0
14,134,9,0.6666666666666666
14,135,13,0.3076923076923077
14,136,9,0.1111111111111111
14,137,13,0.23076923076923078
14,138,5,0.6
14,139,9,0.5555555555555556
14,140,5,1.0
14,141,13,0.3076923076923077
14,148,13,0.46153846153846156
14,149,5,1.0
14,150,13,0.23076923076923078
14,151,9,0.5555555555555556
14,152,13,0.38461538461538464
14,153,9,0.4444444444444444
14,154,5,1.0
14,155,5,0.8
14,156,13,0.2727272727272727
14,157,9,0.6666666666666666
14,158,5,1.0
14,159,9,0.7142857142857143
15,4,13,0.3076923076923077
15,5,5,1.0
15,6,9,0.5555555555555556
15,7,5,1.0
15,8,13,0.46153846153846156
15,9,5,1.0
15,10,13,0.3076923076923077
15,11,9,0.7777777777777778
15,12,13,0.15384615384615385
15,13,9,0.7777777777777778
15,14,5,1.0
15,15,9,1.0
